INSTNM	ADDR	CITY	STABBR	ZIP	LONGITUD	LATITUDE										
Northwest Institute of Literary Arts	5611 Bayview Road	Langley	WA	98260	-122.460121	48.00708										
City College of San Francisco	50 Phelan Ave	San Francisco	CA	94112	-122.451155	37.725953										
Pacific Union College	One Angwin Ave	Angwin	CA	94508	-122.449639	38.57409										
Bates Technical College	1101 S Yakima Ave	Tacoma	WA	98405	-122.446412	47.251531										
Pacific Lutheran University	1010 122nd St So	Tacoma	WA	98447	-122.445372	47.145494										
Everest College-Tacoma	2156 Pacific Avenue	Tacoma	WA	98402	-122.436157	47.241199										
Miami Ad School-San Francisco	1414 Van Ness Ave	San Francisco	CA	94109	-122.421571	37.78881										
San Francisco Conservatory of Music	50 Oak Street	San Francisco	CA	94102	-122.420143	37.775322										
San Francisco Art Institute	800 Chestnut St	San Francisco	CA	94133	-122.417	37.803575										
California Institute of Integral Studies	1453 Mission Street	San Francisco	CA	94103	-122.416537	37.774768										
University of California-Hastings College of Law	200 McAllister St	San Francisco	CA	94102	-122.415395	37.780718										
Marinello Schools of Beauty-San Francisco	1087 Mission Street	San Francisco	CA	94103	-122.410416	37.779467										
San Francisco Institute of Esthetics and Cosmetology	1067 Folsom St	San Francisco	CA	94103	-122.407083	37.777043										
Fashion Institute of Design & Merchandising-San Francisco	55 Stockton St	San Francisco	CA	94108	-122.406503	37.786324										
American Conservatory Theater	30 Grant Ave	San Francisco	CA	94108	-122.404945	37.787326										
Heald College-San Francisco	875 Howard Street Suite 100	San Francisco	CA	94103	-122.404299	37.781933										
Cinta Aveda Institute	305 Kearny Street	San Francisco	CA	94108	-122.404211	37.7909										
Le Cordon Bleu College of Culinary Arts-San Francisco	350 Rhode Island Street	San Francisco	CA	94103	-122.402643	37.765415										
Academy of Art University	79 New Montgomery	San Francisco	CA	94105	-122.400686	37.787748										
California College of the Arts	1111 Eighth Street	San Francisco	CA	94107	-122.400263	37.767266										
Saybrook University	747 Front Street 3rd Fl.	San Francisco	CA	94111	-122.400088	37.798417										
Golden Gate University-San Francisco	536 Mission Street	San Francisco	CA	94105	-122.398785	37.789208										
American College of Traditional Chinese Medicine	455 Arkansas St	San Francisco	CA	94107	-122.398242	37.760503										
Mt Hood Community College	26000 SE Stark St	Gresham	OR	97030	-122.396467	45.512114										
Shasta School of Cosmetology	678 N Market St	Redding	CA	96003	-122.387211	40.59708										
Seattle Pacific University	3307 3rd Ave W	Seattle	WA	98119	-122.362923	47.649338										
Shoreline Community College	16101 Greenwood Ave N	Shoreline	WA	98133	-122.358555	47.748592										
Seattle Community College-South Campus	6000 16th Ave SW	Seattle	WA	98106	-122.352672	47.5475										
The Seattle School of Theology & Psychology	2501 Elliott Avenue	Seattle	WA	98121	-122.350945	47.613373										
Academy of Interactive Entertainment	305 Harrison St Ste 405	Seattle	WA	98109	-122.349551	47.62149										
The Art Institute of Seattle	2323 Elliott Ave	Seattle	WA	98121	-122.348573	47.61222										
Toni & Guy Hairdressing Academy-Shoreline	18336 Aurora Ave. North Suite 103	Shoreline	WA	98133	-122.345989	47.761758										
Antioch University-Seattle	2326 6th Ave	Seattle	WA	98121	-122.342647	47.61696										
Contra Costa College	2600 Mission Bell Dr	San Pablo	CA	94806	-122.342386	37.968623										
Divers Institute of Technology	1341 N. Northlake Way Suite 150	Seattle	WA	98103	-122.340731	47.6474										
Northwest Hair Academy	615 S First St	Mount Vernon	WA	98273	-122.338548	48.418546										
San Mateo County Community College District Office	3401 CSM Drive	San Mateo	CA	94402	-122.337603	37.531184										
Cornish College of the Arts	1000 Lenora Street	Seattle	WA	98121	-122.33614	47.617883										
College of San Mateo	1700 W Hillsdale Blvd	San Mateo	CA	94402	-122.336078	37.534357										
Seattle Community College-North Campus	9600 College Way North	Seattle	WA	98103	-122.33495	47.69976										
Simpson University	2211 College View Drive	Redding	CA	96003	-122.333048	40.61331										
Cortiva Institute-Seattle	425 Pontius Ave N Ste 100	Seattle	WA	98109	-122.332042	47.622787										
Bainbridge Graduate Institute	220 Second Avenue South Suite 400	Seattle	WA	98104	-122.331251	47.60026										
Bakke Graduate University	1013 8th Ave	Seattle	WA	98104	-122.328613	47.608024										
Edmonds Community College	20000 68th Ave W	Lynnwood	WA	98036	-122.327483	47.816742										
Pima Medical Institute-Seattle	9709 Third Ave NE Suite 400	Seattle	WA	98115	-122.325788	47.699363										
Seattle Institute of Oriental Medicine	444 NE Ravenna Blvd-Ste 101	Seattle	WA	98115	-122.323331	47.67813										
Seattle Central College	1701 Broadway Avenue	Seattle	WA	98122	-122.321472	47.616675										
Seattle University	900 Broadway	Seattle	WA	98122	-122.3197	47.610138										
Gary Manuel Aveda Institute	1514 10th Ave	Seattle	WA	98122	-122.319201	47.61434										
Shasta College	11555 Old Oregon Trail	Redding	CA	96003	-122.317982	40.625731										
Photographic Center Northwest	900 12th Avenue	Seattle	WA	98122	-122.316441	47.61055										
Shasta Bible College and Graduate School	2951 Goodwater Ave.	Redding	CA	96002	-122.315742	40.564208										
Gene Juarez Academy of Beauty-Mountlake Terrace	6007- A 244th Street SW	Mountlake Terrace	WA	98043	-122.313331	47.778682										
Skagit Valley College	2405 E. College Way	Mount Vernon	WA	98273	-122.310199	48.437235										
Gurnick Academy of Medical Arts	2121 S El Camino Real Bldg C 200	San Mateo	CA	94403	-122.308528	37.547182										
Cortiva Institute-Seattle	2030 South 314th Street	Federal Way	WA	98003	-122.307873	47.320351										
Gene Juarez Academy of Beauty-Federal Way	2222 So. 314 St	Federal Way	WA	98003	-122.305105	47.320326										
Seattle Vocational Institute	2120 S Jackson	Seattle	WA	98144	-122.303977	47.599291										
Expression College for Digital Arts	6601 Shellmond St	Emeryville	CA	94608	-122.2954	37.847631										
DeVry University's Keller Graduate School of Management-Washington	3600 South 344th Way	Federal Way	WA	98001	-122.288111	47.29457										
DeVry University-Washington	3600 S 344th Way	Federal Way	WA	98001	-122.288111	47.29457										
DeVry University-Washington	3600 S 344th Way	Federal Way	WA	98001	-122.287882	47.294226										
National Holistic Institute	5900 Doyle Street	Emeryville	CA	94608	-122.287672	37.841898										
College of Alameda	555 Ralph Appezzato Memorial Pky	Alameda	CA	94501	-122.279261	37.78239										
ITT Technical Institute-Seattle	12720 Gateway Dr Ste 100	Seattle	WA	98168	-122.275242	47.488594										
Academy of Chinese Culture and Health Sciences	1601 Clay St	Oakland	CA	94612	-122.272733	37.806662										
Napa Valley College	2277 Napa-Vallejo Hwy	Napa	CA	94558	-122.272565	38.27254										
Pierce College at Puyallup	1601 39th Ave SE	Puyallup	WA	98374	-122.272365	47.156328										
University of California-System Administration Central Office	1111 Franklin St	Oakland	CA	94607	-122.27134	37.802222										
Berkeley City College	2050 Center Sreet	Berkeley	CA	94704	-122.269793	37.87047										
Lincoln University	401 15th Street	Oakland	CA	94612	-122.269745	37.804788										
Acupuncture and Integrative Medicine College-Berkeley	2550 Shattuck Avenue	Berkeley	CA	94704	-122.267636	37.862754										
Argosy University-San Francisco Bay Area	1005 Atlantic Avenue	Alameda	CA	94501	-122.267523	37.781238										
Samuel Merritt University	3100 Telegraph Avenue	Oakland	CA	94609	-122.266854	37.819955										
Touro University California	1310 Club Drive	Vallejo	CA	94592	-122.26587	38.088514										
Canada College	4200 Farm Hill Blvd.	Redwood City	CA	94061	-122.265549	37.447365										
Moler Barber College	3815 Telegraph Ave	Oakland	CA	94609	-122.265094	37.826826										
